tenure_months,monthly_charges,contract,support_calls,payment_method,churned
61,94.61,month-to-month,3,credit card,yes
4,56.53,two-year,2,electronic check,yes
36,35.36,month-to-month,2,bank transfer,no
3,77.52,two-year,0,electronic check,no
14,28.64,month-to-month,2,credit card,no
61,86.34,month-to-month,2,bank transfer,no
6,100.92,one-year,1,electronic check,yes
42,111.54,two-year,3,bank transfer,no
2,64.8,two-year,2,bank transfer,yes
22,31.74,one-year,1,electronic check,no
67,110.25,two-year,0,electronic check,no
23,107.04,two-year,2,electronic check,no
22,116.76,one-year,3,bank transfer,yes
7,79.4,month-to-month,2,electronic check,yes
56,87.34,two-year,1,electronic check,yes
13,57.33,month-to-month,2,bank transfer,yes
36,38.31,month-to-month,5,bank transfer,no
2,49.17,one-year,3,bank transfer,no
2,92.07,month-to-month,1,credit card,yes
60,52.5,month-to-month,2,electronic check,no
1,89.16,month-to-month,4,credit card,yes
34,70.22,one-year,3,credit card,no
31,64.9,one-year,1,electronic check,no
10,116.76,two-year,2,credit card,no
46,36.61,two-year,0,electronic check,no
53,68.72,two-year,3,electronic check,no
70,35.97,one-year,3,bank transfer,no
14,113.75,one-year,4,credit card,yes
66,68.86,one-year,2,bank transfer,no
5,53.2,month-to-month,4,electronic check,yes
11,36.83,month-to-month,0,electronic check,yes
43,79.41,one-year,4,electronic check,no
62,59.9,month-to-month,7,credit card,yes
64,32.72,one-year,0,credit card,no
53,23.24,month-to-month,2,bank transfer,no
2,59.13,month-to-month,0,electronic check,yes
30,78.32,one-year,1,bank transfer,yes
58,71.88,month-to-month,4,credit card,no
38,110.0,month-to-month,4,credit card,yes
14,111.16,month-to-month,0,credit card,yes
49,113.63,month-to-month,2,electronic check,yes
7,99.97,month-to-month,2,electronic check,yes
50,67.76,one-year,2,electronic check,yes
2,72.38,month-to-month,1,electronic check,no
26,59.73,month-to-month,2,bank transfer,no
21,59.95,one-year,1,electronic check,yes
67,24.16,two-year,2,electronic check,no
52,99.88,month-to-month,1,bank transfer,yes
47,44.6,month-to-month,3,electronic check,no
36,22.93,month-to-month,2,electronic check,no
21,66.65,month-to-month,1,credit card,no
61,91.79,month-to-month,2,bank transfer,no
68,63.6,month-to-month,1,credit card,no
16,56.41,month-to-month,3,electronic check,yes
18,85.85,month-to-month,1,bank transfer,no
23,36.29,month-to-month,3,electronic check,no
34,21.13,one-year,2,electronic check,no
19,79.24,month-to-month,5,credit card,yes
29,73.05,month-to-month,3,bank transfer,yes
70,106.58,month-to-month,3,electronic check,yes
27,61.59,month-to-month,4,electronic check,yes
67,98.61,month-to-month,1,electronic check,no
36,21.79,month-to-month,3,electronic check,no
25,22.73,two-year,1,electronic check,no
67,79.86,one-year,0,bank transfer,no
31,42.62,month-to-month,5,bank transfer,no
55,26.73,month-to-month,0,credit card,no
23,32.77,month-to-month,2,credit card,no
71,57.47,month-to-month,1,credit card,no
54,53.71,month-to-month,1,electronic check,no
63,76.38,one-year,2,electronic check,no
3,108.76,month-to-month,2,bank transfer,yes
8,56.57,month-to-month,1,credit card,no
5,38.42,one-year,2,credit card,no
38,77.8,one-year,2,electronic check,no
29,20.22,one-year,1,credit card,no
70,58.48,two-year,2,bank transfer,no
18,51.72,month-to-month,1,credit card,yes
12,58.74,month-to-month,2,electronic check,no
61,25.08,one-year,0,electronic check,no
22,75.42,one-year,1,electronic check,no
53,82.42,two-year,3,credit card,yes
21,94.95,two-year,1,electronic check,no
39,115.75,one-year,1,electronic check,yes
6,55.47,one-year,1,bank transfer,yes
47,85.63,one-year,1,credit card,no
66,64.2,month-to-month,3,electronic check,no
50,41.5,one-year,0,electronic check,no
63,108.93,month-to-month,2,credit card,yes
56,94.59,month-to-month,2,credit card,no
41,114.28,month-to-month,1,credit card,yes
66,102.15,month-to-month,3,bank transfer,no
35,111.75,two-year,0,credit card,yes
11,32.8,one-year,1,credit card,no
40,21.57,one-year,2,credit card,no
45,39.86,month-to-month,2,electronic check,no
13,61.21,month-to-month,4,electronic check,yes
11,88.76,month-to-month,4,credit card,yes
48,63.85,one-year,3,electronic check,no
32,71.33,two-year,4,bank transfer,no
35,96.1,one-year,0,credit card,no
56,27.06,two-year,1,bank transfer,no
49,87.83,month-to-month,1,credit card,yes
64,24.87,one-year,4,bank transfer,no
12,44.86,month-to-month,5,bank transfer,yes
54,92.23,one-year,2,credit card,no
39,88.31,month-to-month,3,credit card,no
3,60.53,one-year,2,credit card,yes
6,49.46,one-year,0,credit card,yes
26,102.81,month-to-month,1,electronic check,yes
46,47.48,month-to-month,1,electronic check,no
12,23.12,one-year,4,credit card,no
39,44.73,month-to-month,2,credit card,no
71,22.12,month-to-month,2,credit card,no
11,101.07,month-to-month,4,bank transfer,yes
11,32.23,month-to-month,0,electronic check,no
69,117.4,two-year,1,electronic check,yes
18,41.3,two-year,2,electronic check,no
63,50.61,month-to-month,2,bank transfer,no
26,78.52,two-year,2,electronic check,no
54,50.82,two-year,0,bank transfer,no
5,57.93,month-to-month,2,bank transfer,yes
45,30.42,month-to-month,0,credit card,no
62,58.91,one-year,2,electronic check,no
25,22.52,month-to-month,4,electronic check,yes
46,42.4,two-year,1,bank transfer,yes
16,110.95,month-to-month,2,credit card,yes
12,48.08,one-year,0,credit card,no
1,47.09,one-year,0,credit card,no
36,87.93,month-to-month,1,bank transfer,yes
38,108.29,two-year,6,electronic check,yes
6,49.58,month-to-month,2,bank transfer,no
17,57.63,month-to-month,2,electronic check,yes
44,91.47,month-to-month,2,bank transfer,yes
26,99.21,month-to-month,1,credit card,yes
17,81.38,one-year,6,electronic check,yes
1,37.9,month-to-month,2,bank transfer,yes
3,38.07,two-year,1,credit card,no
46,95.8,month-to-month,4,electronic check,yes
9,90.68,two-year,3,electronic check,yes
60,109.63,month-to-month,2,bank transfer,yes
40,97.98,month-to-month,3,bank transfer,yes
18,62.12,month-to-month,1,bank transfer,yes
46,33.33,month-to-month,4,electronic check,yes
12,109.05,month-to-month,2,credit card,yes
24,89.55,month-to-month,5,bank transfer,yes
36,77.64,two-year,2,bank transfer,no
46,88.19,one-year,3,credit card,no
10,58.51,one-year,3,electronic check,yes
25,54.33,month-to-month,0,bank transfer,no
7,77.54,two-year,3,credit card,no
10,68.27,one-year,3,credit card,yes
16,90.9,one-year,0,electronic check,yes
23,113.61,two-year,2,bank transfer,yes
65,104.73,one-year,4,electronic check,no
29,58.75,month-to-month,5,bank transfer,no
8,57.25,month-to-month,1,credit card,no
65,112.68,two-year,2,electronic check,no
41,59.46,one-year,0,electronic check,no
9,100.02,one-year,3,credit card,yes
6,29.27,month-to-month,2,bank transfer,no
7,65.11,month-to-month,2,bank transfer,yes
65,71.62,two-year,1,credit card,no
40,100.88,month-to-month,2,bank transfer,no
49,107.76,two-year,1,electronic check,no
69,35.27,one-year,5,electronic check,no
29,81.72,month-to-month,1,credit card,no
65,82.91,month-to-month,4,electronic check,yes
29,35.15,month-to-month,3,electronic check,no
50,103.36,one-year,0,bank transfer,no
59,75.35,one-year,2,bank transfer,no
5,116.17,month-to-month,2,electronic check,yes
53,38.63,month-to-month,2,electronic check,no
58,72.5,one-year,2,bank transfer,no
69,52.35,month-to-month,2,credit card,yes
49,84.25,one-year,2,electronic check,no
35,80.81,two-year,2,electronic check,no
11,71.24,one-year,3,electronic check,yes
55,52.49,month-to-month,3,electronic check,no
34,70.39,two-year,0,bank transfer,no
58,57.23,one-year,0,electronic check,no
4,109.08,one-year,2,credit card,yes
25,66.15,month-to-month,2,electronic check,yes
57,67.52,one-year,2,bank transfer,no
44,45.86,month-to-month,4,credit card,yes
52,45.38,month-to-month,2,credit card,no
42,115.39,month-to-month,1,electronic check,yes
58,51.4,month-to-month,0,credit card,no
59,106.83,month-to-month,1,bank transfer,yes
54,79.48,month-to-month,3,credit card,no
48,118.05,one-year,2,bank transfer,no
19,36.41,one-year,3,electronic check,no
6,114.16,one-year,2,electronic check,yes
57,97.25,two-year,2,bank transfer,no
25,76.8,month-to-month,0,electronic check,no
18,90.89,month-to-month,1,bank transfer,yes
